region_name;telephone_density
ALTAI;158,48
ARH;214,66
BARNAUL;182,06
BELGOROD;190,97
BRYANSK;179,98
BURYATIA;169,19
CHELYABINSK;189,84
CHUVASHIA;186,33
EAO;171,87
EKT;216,07
HMAO;194,39
IRKUTSK;199,62
IVANOVO;193,98
IZHEVSK;190,43
KALININGRAD;198,94
KALUGA;192,07
KAMCHATKA;203,68
KARELIA;218,08
KAZAN;190,91
KHABAROVSK;201,10
KHAKASIA;177,75
KIROV;205,70
KOMI;212,40
KOSTROMA;192,30
KRASNODAR;240,46
KRASNOYARSK;187,23
KURGAN;211,74
KURSK;187,83
KUZBASS;177,10
LIPETSK;191,18
MAGADAN;186,08
MARIEL;177,92
MORDOVIA;164,21
MSK;339,05
MURMANSK;216,95
NNOV;289,61
NOVGOROD;225,89
NOVOSIBIRSK;207,79
OMSK;193,92
OREL;205,41
ORENBURG;203,69
PENZA;175,31
PERM;199,66
PSKOV;201,78
ROSTOV;197,26
RYAZAN;195,45
SAKHALIN;209,77
SAMARA;187,34
SARATOV;181,26
SMOLENSK;205,95
SPB;265,79
TAMBOV;177,24
TOMSK;178,42
TULA;189,88
TVER;194,86
TYUMEN;199,51
ULN;189,85
VLADIMIR;185,72
VLADIVOSTOK;186,80
VOLGOGRAD;174,74
VOLOGDA;193,63
VORONEZH;195,32
YANAO;249,20
YAR;209,22
