,sex,telephone_density,z-score,GtG,N,corr_v,corr_g
0,Male,low_td,-2.8891834307049136,1->2,335,0.41492537313432837,0.493845871222559
1,Male,Msk,-1.8223578488888093,4->5,171,0.7953216374269005,0.845667534399405
2,Female,high_td,1.7712411489977065,5->7,379,0.8601583113456465,0.8256376429199648
3,Female,Msk,-1.1194957136850825,4->5,167,0.8143712574850299,0.845667534399405
4,Male,high_td,1.077648642898053,4->5,428,0.8644859813084113,0.845667534399405
5,Male,Msk,-0.9688008198606478,5->7,136,0.7941176470588235,0.8256376429199648
6,Female,Msk,-0.9688008198606478,5->7,136,0.7941176470588235,0.8256376429199648
7,Male,high_td,-0.9086111182530021,1->2,1813,0.48317705460562604,0.493845871222559
8,Female,high_td,0.7738180929551651,2->4,865,0.5132947976878612,0.5001394959546173
9,Male,Msk,0.7056194381732833,1->2,658,0.5075987841945289,0.493845871222559
10,Male,high_td,-0.6839948114660915,2->4,876,0.4885844748858447,0.5001394959546173
11,Female,high_td,0.6316340286109317,1->2,1725,0.5014492753623189,0.493845871222559
12,Female,high_td,0.462880041297341,4->5,444,0.8536036036036037,0.845667534399405
13,Female,Msk,-0.4377499382811599,2->4,342,0.48830409356725146,0.5001394959546173
14,Male,Msk,0.4326417777732416,2->4,334,0.5119760479041916,0.5001394959546173
15,Female,low_td,-0.21883065552809214,1->2,328,0.4878048780487805,0.493845871222559
16,Male,high_td,-0.06658092850527682,5->7,370,0.8243243243243243,0.8256376429199648
17,Female,Msk,-0.05535174497410911,1->2,694,0.49279538904899134,0.493845871222559
